Category: All categories

Week,starbucks: (United States)
2022-12-25,98
2023-01-01,66
2023-01-08,60
2023-01-15,59
2023-01-22,59
2023-01-29,59
2023-02-05,60
2023-02-12,60
2023-02-19,63
2023-02-26,58
2023-03-05,61
2023-03-12,63
2023-03-19,58
2023-03-26,64
2023-04-02,63
2023-04-09,69
2023-04-16,60
2023-04-23,60
2023-04-30,59
2023-05-07,69
2023-05-14,63
2023-05-21,62
2023-05-28,66
2023-06-04,62
2023-06-11,63
2023-06-18,63
2023-06-25,63
2023-07-02,69
2023-07-09,59
2023-07-16,63
2023-07-23,62
2023-07-30,65
2023-08-06,63
2023-08-13,62
2023-08-20,73
2023-08-27,66
2023-09-03,72
2023-09-10,70
2023-09-17,67
2023-09-24,70
2023-10-01,65
2023-10-08,67
2023-10-15,60
2023-10-22,66
2023-10-29,79
2023-11-05,76
2023-11-12,92
2023-11-19,82
2023-11-26,62
2023-12-03,64
2023-12-10,70
2023-12-17,73
2023-12-24,100
2023-12-31,87
