Date,SBUX
2018-01-01,144.26710510253906
2018-01-08,143.86924743652344
2018-01-15,145.98289489746094
2018-01-22,147.83958435058594
2018-01-29,140.39622497558594
2018-02-05,133.28436279296875
2018-02-12,130.7895050048828
2018-02-19,135.15771484375
2018-02-26,122.89850616455078
2018-03-05,131.15817260742188
2018-03-12,135.42889404296875
2018-03-19,129.2730255126953
2018-03-26,130.44081115722656
2018-04-02,134.50294494628906
2018-04-09,134.90333557128906
2018-04-16,132.43435668945312
2018-04-23,132.04232788085938
2018-04-30,137.65597534179688
2018-05-07,137.956298828125
2018-05-14,134.27777099609375
2018-05-21,136.1378936767578
2018-05-28,132.7596893310547
2018-06-04,141.7873992919922
2018-06-11,139.7307891845703
2018-06-18,138.12747192382812
2018-06-25,131.5295867919922
2018-07-02,133.8212127685547
2018-07-09,133.057373046875
2018-07-16,132.6040496826172
2018-07-23,132.1926727294922
2018-07-30,131.12664794921875
2018-08-06,133.20005798339844
2018-08-13,135.2734375
2018-08-20,133.7876739501953
2018-08-27,136.18002319335938
2018-09-03,138.4407196044922
2018-09-10,135.8560791015625
2018-09-17,139.62326049804688
2018-09-24,141.30418395996094
2018-10-01,140.69595336914062
2018-10-08,138.3731689453125
2018-10-15,141.4730682373047
2018-10-22,146.4143524169922
2018-10-29,149.2947235107422
2018-11-05,157.05718994140625
2018-11-12,158.45083618164062
2018-11-19,153.67005920410156
2018-11-26,159.2279815673828
2018-12-03,155.4930877685547
2018-12-10,155.77354431152344
2018-12-17,148.0056610107422
2018-12-24,149.20396423339844
2018-12-31,151.5156707763672
2019-01-07,154.99168395996094
2019-01-14,155.16163635253906
2019-01-21,156.37701416015625
2019-01-28,150.18988037109375
2019-02-04,148.51564025878906
2019-02-11,152.95199584960938
2019-02-18,155.67160034179688
2019-02-25,157.2693634033203
2019-03-04,153.52377319335938
2019-03-11,158.51010131835938
2019-03-18,159.77597045898438
2019-03-25,162.41876220703125
2019-04-01,163.11155700683594
2019-04-08,163.87274169921875
2019-04-15,166.70375061035156
2019-04-22,168.8504638671875
2019-04-29,168.93603515625
2019-05-06,171.04855346679688
2019-05-13,170.38999938964844
2019-05-20,169.1498565673828
2019-05-27,169.5775146484375
2019-06-03,176.7732696533203
2019-06-10,176.60987854003906
2019-06-17,175.7237548828125
2019-06-24,178.6487579345703
2019-07-01,181.72862243652344
2019-07-08,183.23414611816406
2019-07-15,183.99118041992188
2019-07-22,185.46231079101562
2019-07-29,184.5159454345703
2019-08-05,190.25413513183594
2019-08-12,187.94851684570312
2019-08-19,184.6708221435547
2019-08-26,187.5183868408203
2019-09-02,190.29148864746094
2019-09-09,181.45277404785156
2019-09-16,181.08953857421875
2019-09-23,184.35003662109375
2019-09-30,183.0786895751953
2019-10-07,180.76959228515625
2019-10-14,180.3198699951172
2019-10-21,168.30718994140625
2019-10-28,167.7277374267578
2019-11-04,167.4423370361328
2019-11-11,167.753662109375
2019-11-18,167.0358428955078
2019-11-25,168.19471740722656
2019-12-02,170.0298614501953
2019-12-09,171.57046508789062
2019-12-16,171.58782958984375
2019-12-23,172.4843292236328
2019-12-30,174.14678955078125
2020-01-06,180.40489196777344
2020-01-13,184.50437927246094
2020-01-20,183.86029052734375
2020-01-27,186.2364501953125
2020-02-03,184.18235778808594
2020-02-10,188.95205688476562
2020-02-17,187.8901824951172
2020-02-24,169.0028076171875
2020-03-02,174.16807556152344
2020-03-09,155.13623046875
2020-03-16,130.05238342285156
2020-03-23,143.64529418945312
2020-03-30,140.42222595214844
2020-04-06,160.89044189453125
2020-04-13,162.99241638183594
2020-04-20,161.17074584960938
2020-04-27,159.9795684814453
2020-05-04,158.7271728515625
2020-05-11,152.2284698486328
2020-05-18,161.51229858398438
2020-05-25,163.1851348876953
2020-06-01,173.83047485351562
2020-06-08,166.7859344482422
2020-06-15,164.4847412109375
2020-06-22,158.4717559814453
2020-06-29,161.80445861816406
2020-07-06,163.00347900390625
2020-07-13,168.82254028320312
2020-07-20,175.20590209960938
2020-07-27,171.291259765625
2020-08-03,180.39010620117188
2020-08-10,182.53260803222656
2020-08-17,186.53536987304688
2020-08-24,189.48016357421875
2020-08-31,186.6763916015625
2020-09-07,193.32901000976562
2020-09-14,195.3421173095703
2020-09-21,193.48858642578125
2020-09-28,197.47047424316406
2020-10-05,199.38604736328125
2020-10-12,203.41226196289062
2020-10-19,202.82693481445312
2020-10-26,188.8948516845703
2020-11-02,192.05194091796875
2020-11-09,189.14312744140625
2020-11-16,189.8614959716797
2020-11-23,193.6216583251953
2020-11-30,186.890625
2020-12-07,185.34295654296875
2020-12-14,191.8731231689453
2020-12-21,188.581298828125
2020-12-28,191.42706298828125
2021-01-04,192.57791137695312
2021-01-11,187.260986328125
2021-01-18,190.35655212402344
2021-01-25,185.41432189941406
2021-02-01,189.6428680419922
2021-02-08,190.82046508789062
2021-02-15,189.33958435058594
2021-02-22,183.89776611328125
2021-03-01,186.13327026367188
2021-03-08,190.5942840576172
2021-03-15,199.65994262695312
2021-03-22,202.14625549316406
2021-03-29,202.14625549316406
2021-04-05,207.77415466308594
2021-04-12,209.2103271484375
2021-04-19,210.55670166015625
2021-04-26,211.90310668945312
2021-05-03,210.7900390625
2021-05-10,207.98956298828125
2021-05-17,207.55874633789062
2021-05-24,209.9373779296875
2021-05-31,210.63653564453125
2021-06-07,213.840576171875
2021-06-14,207.2429656982422
2021-06-21,209.7700958251953
2021-06-28,210.8621826171875
2021-07-05,212.71240234375
2021-07-12,211.873046875
2021-07-19,219.282958984375
2021-07-26,219.05731201171875
