Date,SPY
2018-01-01,242.02517700195312
2018-01-08,246.0084991455078
2018-01-15,248.21263122558594
2018-01-22,253.6741485595703
2018-01-29,243.8220672607422
2018-02-05,231.4739227294922
2018-02-12,241.750732421875
2018-02-19,243.1671142578125
2018-02-26,238.18362426757812
2018-03-05,246.84951782226562
2018-03-12,242.71566772460938
2018-03-19,229.33485412597656
2018-03-26,233.86734008789062
2018-04-02,230.8190460205078
2018-04-09,235.64476013183594
2018-04-16,236.94236755371094
2018-04-23,236.89796447753906
2018-04-30,236.41799926757812
2018-05-07,242.4879150390625
2018-05-14,241.1371307373047
2018-05-21,241.8659210205078
2018-05-28,243.154541015625
2018-06-04,247.23379516601562
2018-06-11,246.29171752929688
2018-06-18,245.26406860351562
2018-06-25,242.17527770996094
2018-07-02,245.87110900878906
2018-07-09,249.59373474121094
2018-07-16,249.67401123046875
2018-07-23,251.22738647460938
2018-07-30,253.17344665527344
2018-08-06,252.78070068359375
2018-08-13,254.4769287109375
2018-08-20,256.6640319824219
2018-08-27,259.1635437011719
2018-09-03,256.74432373046875
2018-09-10,259.6725158691406
2018-09-17,260.6633605957031
2018-09-24,260.70452880859375
2018-10-01,258.1039123535156
2018-10-08,247.45945739746094
2018-10-15,247.7284698486328
2018-10-22,237.9358673095703
2018-10-29,243.81857299804688
2018-11-05,249.0826416015625
2018-11-12,245.46864318847656
2018-11-19,236.0706329345703
2018-11-26,247.19036865234375
2018-12-03,236.35760498046875
2018-12-10,233.57763671875
2018-12-17,215.84878540039062
2018-12-24,223.4683380126953
2018-12-31,227.653564453125
2019-01-07,233.59764099121094
2019-01-14,240.34457397460938
2019-01-21,239.731201171875
2019-01-28,243.5917205810547
2019-02-04,243.96157836914062
2019-02-11,250.185302734375
2019-02-18,251.7818145751953
2019-02-25,252.93641662597656
2019-03-04,247.56045532226562
2019-03-11,253.73924255371094
2019-03-18,252.99057006835938
2019-03-25,255.9168701171875
2019-04-01,261.4341125488281
2019-04-08,262.8746032714844
2019-04-15,262.747802734375
2019-04-22,265.8190002441406
2019-04-29,266.3805847167969
2019-05-06,261.00830078125
2019-05-13,258.9608459472656
2019-05-20,256.1885070800781
2019-05-27,249.38473510742188
2019-06-03,260.6006774902344
2019-06-10,262.0592346191406
2019-06-17,266.353515625
2019-06-24,266.7385559082031
2019-07-01,271.70916748046875
2019-07-08,273.7029113769531
2019-07-15,270.5347900390625
2019-07-22,274.9410095214844
2019-07-29,266.3926086425781
2019-08-05,265.48223876953125
2019-08-12,262.9605407714844
2019-08-19,259.319091796875
2019-08-26,266.2378845214844
2019-09-02,271.3359680175781
2019-09-09,274.103515625
2019-09-16,271.54534912109375
2019-09-23,270.1654052734375
2019-09-30,269.2050476074219
2019-10-07,270.97015380859375
2019-10-14,272.5157470703125
2019-10-21,275.83575439453125
2019-10-28,279.9878845214844
2019-11-04,282.54864501953125
2019-11-11,285.1552734375
2019-11-18,284.39605712890625
2019-11-25,287.4599304199219
2019-12-02,287.97210693359375
2019-12-09,290.21282958984375
2019-12-16,293.3315734863281
2019-12-23,296.7312927246094
2019-12-30,296.31768798828125
2020-01-06,299.3507080078125
2020-01-13,305.0856628417969
2020-01-20,302.1629943847656
2020-01-27,295.6927795410156
2020-02-03,305.31549072265625
2020-02-10,310.27850341796875
2020-02-17,306.49188232421875
2020-02-24,272.2840270996094
2020-03-02,273.3868713378906
2020-03-09,247.5242156982422
2020-03-16,210.28347778320312
2020-03-23,234.28057861328125
2020-03-30,229.4456024169922
2020-04-06,257.18914794921875
2020-04-13,264.9917297363281
2020-04-20,261.5988464355469
2020-04-27,261.432373046875
2020-05-04,270.35357666015625
2020-05-11,264.65887451171875
2020-05-18,273.1270446777344
2020-05-25,281.33636474609375
2020-06-01,295.2220153808594
2020-06-08,281.234619140625
2020-06-15,285.3301696777344
2020-06-22,278.6095275878906
2020-06-29,289.919189453125
2020-07-06,294.89617919921875
2020-07-13,298.7311096191406
2020-07-20,297.9510803222656
2020-07-27,303.1880187988281
2020-08-03,310.66290283203125
2020-08-10,312.7707214355469
2020-08-17,315.2220458984375
2020-08-24,325.5289611816406
2020-08-31,318.09124755859375
2020-09-07,310.18927001953125
2020-09-14,307.0229797363281
2020-09-21,306.46209716796875
2020-09-28,311.2259216308594
2020-10-05,323.3546447753906
2020-10-12,323.7648010253906
2020-10-19,322.35711669921875
2020-10-26,304.42047119140625
2020-11-02,326.44049072265625
2020-11-09,333.8426208496094
2020-11-16,331.2602233886719
2020-11-23,339.03533935546875
2020-11-30,344.79669189453125
2020-12-07,341.487060546875
2020-12-14,344.1719970703125
2020-12-21,345.47052001953125
2020-12-28,350.03948974609375
2021-01-04,356.9488525390625
2021-01-11,351.7433776855469
2021-01-18,358.46551513671875
2021-01-25,346.47235107421875
2021-02-01,362.987548828125
2021-02-08,367.6032409667969
2021-02-15,365.15960693359375
2021-02-22,356.1062316894531
2021-03-01,359.1676940917969
2021-03-08,368.9326171875
2021-03-15,364.6446838378906
2021-03-22,371.9443664550781
2021-03-29,376.2934265136719
2021-04-05,386.51300048828125
2021-04-12,391.93280029296875
2021-04-19,391.4443054199219
2021-04-26,391.97027587890625
2021-05-03,396.49774169921875
2021-05-10,391.2939758300781
2021-05-17,389.7535400390625
2021-05-24,394.54400634765625
2021-05-31,396.94866943359375
2021-06-07,398.5548095703125
2021-06-14,389.7348327636719
2021-06-21,402.0262145996094
2021-06-28,408.72650146484375
2021-07-05,410.4226989746094
2021-07-12,406.4836120605469
2021-07-19,414.5880432128906
2021-07-26,413.2404479980469
