Date,SBUX
2018-01-01,50.063331604003906
2018-01-08,50.7268180847168
2018-01-15,51.44908905029297
2018-01-22,48.7027702331543
2018-01-29,46.83831787109375
2018-02-05,45.838905334472656
2018-02-12,47.691898345947266
2018-02-19,47.404781341552734
2018-02-26,48.07188415527344
2018-03-05,49.363807678222656
2018-03-12,49.81978988647461
2018-03-19,47.5483512878418
2018-03-26,48.88250732421875
2018-04-02,49.262489318847656
2018-04-09,50.0224494934082
2018-04-16,48.97539138793945
2018-04-23,49.27937698364258
2018-04-30,48.70518112182617
2018-05-07,48.35897445678711
2018-05-14,48.51848602294922
2018-05-21,49.16358947753906
2018-05-28,48.306278228759766
2018-06-04,48.04314422607422
2018-06-11,48.476051330566406
2018-06-18,43.49348449707031
2018-06-25,41.464805603027344
2018-07-02,41.57514572143555
2018-07-09,43.8160285949707
2018-07-16,43.21335983276367
2018-07-23,44.265899658203125
2018-07-30,44.33381271362305
2018-08-06,43.72265625
2018-08-13,45.77924346923828
2018-08-20,45.086910247802734
2018-08-27,45.68522262573242
2018-09-03,46.89038848876953
2018-09-10,46.79637145996094
2018-09-17,49.10413360595703
2018-09-24,48.58274841308594
2018-10-01,47.65964126586914
2018-10-08,48.24941635131836
2018-10-15,50.13835906982422
2018-10-22,49.634063720703125
2018-10-29,54.97611618041992
2018-11-05,58.63435745239258
2018-11-12,58.258262634277344
2018-11-19,56.4571533203125
2018-11-26,57.333656311035156
2018-12-03,56.259521484375
2018-12-10,56.147789001464844
2018-12-17,52.75349426269531
2018-12-24,54.47212219238281
2018-12-31,54.626800537109375
2019-01-07,54.76430130004883
2019-01-14,55.597835540771484
2019-01-21,57.651607513427734
2019-01-28,58.52811050415039
2019-02-04,59.93738555908203
2019-02-11,61.07946014404297
2019-02-18,61.58908462524414
2019-02-25,61.200374603271484
2019-03-04,59.913299560546875
2019-03-11,61.044883728027344
2019-03-18,62.159183502197266
2019-03-25,64.21502685546875
2019-04-01,64.81108856201172
2019-04-08,66.21041107177734
2019-04-15,65.70077514648438
2019-04-22,66.90145874023438
2019-04-29,67.41973114013672
2019-05-06,67.73936462402344
2019-05-13,68.47882843017578
2019-05-20,66.08368682861328
2019-05-27,66.00557708740234
2019-06-03,71.5769271850586
2019-06-10,73.10426330566406
2019-06-17,72.73977661132812
2019-06-24,72.74848175048828
2019-07-01,76.18498992919922
2019-07-08,77.90325927734375
2019-07-15,78.36319732666016
2019-07-22,86.00858306884766
2019-07-29,82.88449096679688
2019-08-05,83.57003784179688
2019-08-12,84.07843017578125
2019-08-19,82.49303436279297
2019-08-26,84.11326599121094
2019-09-02,83.39897918701172
2019-09-09,78.81700897216797
2019-09-16,78.45984649658203
2019-09-23,76.97897338867188
2019-09-30,74.84479522705078
2019-10-07,75.22807312011719
2019-10-14,74.94061279296875
2019-10-21,72.63218688964844
2019-10-28,72.48412322998047
2019-11-04,71.22972106933594
2019-11-11,73.35520935058594
2019-11-18,72.68010711669922
2019-11-25,74.78994750976562
2019-12-02,75.56909942626953
2019-12-09,77.62641906738281
2019-12-16,77.44258880615234
2019-12-23,77.15367889404297
2019-12-30,77.7665023803711
2020-01-06,78.93083953857422
2020-01-13,81.95992279052734
2020-01-20,80.56793212890625
2020-01-27,74.26468658447266
2020-02-03,75.65665435791016
2020-02-10,78.52471923828125
2020-02-17,76.83602905273438
2020-02-24,68.98177337646484
2020-03-02,66.26400756835938
2020-03-09,61.4969596862793
2020-03-16,51.03931427001953
2020-03-23,58.348236083984375
2020-03-30,55.45457077026367
2020-04-06,64.97989654541016
2020-04-13,67.81201171875
2020-04-20,66.47513580322266
2020-04-27,64.9007568359375
2020-05-04,68.4892349243164
2020-05-11,65.59479522705078
2020-05-18,68.65518188476562
2020-05-25,68.98245239257812
2020-06-01,72.65313720703125
2020-06-08,67.55840301513672
2020-06-15,66.69158172607422
2020-06-22,63.303916931152344
2020-06-29,65.25868225097656
2020-07-06,65.70978546142578
2020-07-13,65.59479522705078
2020-07-20,67.0276870727539
2020-07-27,67.69107818603516
2020-08-03,67.03652954101562
2020-08-10,69.69564056396484
2020-08-17,68.53951263427734
2020-08-24,75.59178161621094
2020-08-31,76.72122192382812
2020-09-07,75.8319091796875
2020-09-14,75.54731750488281
2020-09-21,74.9692611694336
2020-09-28,76.98804473876953
2020-10-05,80.04727172851562
2020-10-12,78.7221908569336
2020-10-19,80.74982452392578
2020-10-26,77.33484649658203
2020-11-02,80.61643981933594
2020-11-09,84.98295593261719
2020-11-16,86.6792984008789
2020-11-23,88.15357971191406
2020-11-30,91.38806915283203
2020-12-07,92.03140258789062
2020-12-14,92.2815933227539
2020-12-21,91.14683532714844
2020-12-28,95.58757019042969
2021-01-04,94.4170913696289
2021-01-11,91.4327621459961
2021-01-18,92.84449005126953
2021-01-25,86.50059509277344
2021-02-01,95.14080810546875
2021-02-08,94.08647155761719
2021-02-15,92.36200714111328
2021-02-22,96.93668365478516
2021-03-01,94.39729309082031
2021-03-08,96.73928833007812
2021-03-15,95.42024230957031
2021-03-22,98.61465454101562
2021-03-29,98.14807891845703
2021-04-05,101.557861328125
2021-04-12,106.18798065185547
2021-04-19,105.48809051513672
2021-04-26,102.73332977294922
2021-05-03,102.5987319946289
2021-05-10,99.78118133544922
2021-05-17,99.92593383789062
2021-05-24,102.59253692626953
2021-05-31,100.8898696899414
2021-06-07,101.40338134765625
2021-06-14,98.82685089111328
2021-06-21,101.83582305908203
2021-06-28,103.57453155517578
2021-07-05,105.82673645019531
2021-07-12,106.96183776855469
2021-07-19,113.48422241210938
