Date,^VIX
2018-01-01,47.19739532470703
2018-01-08,48.70448303222656
2018-01-15,48.968807220458984
2018-01-22,50.54545974731445
2018-01-29,48.964176177978516
2018-02-05,46.75686264038086
2018-02-12,48.59320068359375
2018-02-19,49.11256790161133
2018-02-26,47.78633117675781
2018-03-05,49.26559829711914
2018-03-12,48.774044036865234
2018-03-19,46.592220306396484
2018-03-26,47.10847473144531
2018-04-02,46.824771881103516
2018-04-09,47.075904846191406
2018-04-16,47.894466400146484
2018-04-23,48.420013427734375
2018-04-30,48.378150939941406
2018-05-07,48.782772064208984
2018-05-14,48.773475646972656
2018-05-21,49.35947799682617
2018-05-28,49.55016326904297
2018-06-04,51.122154235839844
2018-06-11,52.14069366455078
2018-06-18,51.909271240234375
2018-06-25,50.96732711791992
2018-07-02,51.43363571166992
2018-07-09,52.5014762878418
2018-07-16,52.296295166015625
2018-07-23,52.0584831237793
2018-07-30,52.16107177734375
2018-08-06,52.56208419799805
2018-08-13,52.46417236328125
2018-08-20,53.57398986816406
2018-08-27,54.53456115722656
2018-09-03,53.89573669433594
2018-09-10,54.520591735839844
2018-09-17,54.520591735839844
2018-09-24,54.8238410949707
2018-10-01,52.49469757080078
2018-10-08,50.736148834228516
2018-10-15,49.73526382446289
2018-10-22,48.36490249633789
2018-10-29,50.49761199951172
2018-11-05,51.45639419555664
2018-11-12,49.749298095703125
2018-11-19,47.71479797363281
2018-11-26,50.50697326660156
2018-12-03,48.34619903564453
2018-12-10,47.85979461669922
2018-12-17,43.85158920288086
2018-12-24,45.9954948425293
2018-12-31,47.34305953979492
2019-01-07,49.10381317138672
2019-01-14,50.15087890625
2019-01-21,50.25416946411133
2019-01-28,50.32929992675781
2019-02-04,50.30112075805664
2019-02-11,51.676849365234375
2019-02-18,52.16986846923828
2019-02-25,52.16517639160156
2019-03-04,50.902130126953125
2019-03-11,51.93040466308594
2019-03-18,52.61172103881836
2019-03-25,53.63880920410156
2019-04-01,55.36787796020508
2019-04-08,55.744773864746094
2019-04-15,56.192359924316406
2019-04-22,56.851951599121094
2019-04-29,56.58340072631836
2019-05-06,55.25950241088867
2019-05-13,54.609344482421875
2019-05-20,53.44092559814453
2019-05-27,52.26780700683594
2019-06-03,54.548095703125
2019-06-10,55.82487487792969
2019-06-17,56.31014633178711
2019-06-24,56.35300827026367
2019-07-01,57.534912109375
2019-07-08,58.660064697265625
2019-07-15,57.75238037109375
2019-07-22,58.40951156616211
2019-07-29,55.83297348022461
2019-08-05,55.92280197143555
2019-08-12,54.788169860839844
2019-08-19,55.071815490722656
2019-08-26,56.53266143798828
2019-09-02,58.088035583496094
2019-09-09,58.348060607910156
2019-09-16,56.91559600830078
2019-09-23,56.762874603271484
2019-09-30,56.549434661865234
2019-10-07,57.199256896972656
2019-10-14,57.948692321777344
2019-10-21,57.422210693359375
2019-10-28,57.702056884765625
2019-11-04,57.55500411987305
2019-11-11,57.56924057006836
2019-11-18,57.06644058227539
2019-11-25,58.08150100708008
2019-12-02,57.7447509765625
2019-12-09,58.42301559448242
2019-12-16,59.07760238647461
2019-12-23,59.98622512817383
2019-12-30,59.88151931762695
2020-01-06,60.12421798706055
2020-01-13,60.90945053100586
2020-01-20,59.938629150390625
2020-01-27,59.638816833496094
2020-02-03,61.061729431152344
2020-02-10,62.67024612426758
2020-02-17,62.0087776184082
2020-02-24,55.12260437011719
2020-03-02,54.56105041503906
2020-03-09,48.683780670166016
2020-03-16,41.78810119628906
2020-03-23,46.66123580932617
2020-03-30,44.19057846069336
2020-04-06,51.01450729370117
2020-04-13,54.00327682495117
2020-04-20,53.678096771240234
2020-04-27,53.67330551147461
2020-05-04,56.073890686035156
2020-05-11,55.222679138183594
2020-05-18,57.97233963012695
2020-05-25,59.387813568115234
2020-06-01,62.7639045715332
2020-06-08,59.937740325927734
2020-06-15,60.91327667236328
2020-06-22,59.177406311035156
2020-06-29,62.076087951660156
2020-07-06,63.89749526977539
2020-07-13,64.15152740478516
2020-07-20,64.96637725830078
2020-07-27,65.6661605834961
2020-08-03,67.2862548828125
2020-08-10,68.8248519897461
2020-08-17,70.0662612915039
2020-08-24,72.15131378173828
2020-08-31,70.53600311279297
2020-09-07,70.01356506347656
2020-09-14,68.96866607666016
2020-09-21,68.98302459716797
2020-09-28,71.2195053100586
2020-10-05,73.67882537841797
2020-10-12,73.41944122314453
2020-10-19,73.48668670654297
2020-10-26,68.6737289428711
2020-11-02,73.37621307373047
2020-11-09,73.70764923095703
2020-11-16,73.82294464111328
2020-11-23,75.99884033203125
2020-11-30,75.9075698852539
2020-12-07,75.07659912109375
2020-12-14,76.84905242919922
2020-12-21,75.83553314208984
2020-12-28,77.37164306640625
2021-01-04,81.22628021240234
2021-01-11,79.78742218017578
2021-01-18,81.85670471191406
2021-01-25,77.96356964111328
2021-02-01,82.8817138671875
2021-02-08,81.96259307861328
2021-02-15,81.6257095336914
2021-02-22,77.54971313476562
2021-03-01,75.46601104736328
2021-03-08,80.25421142578125
2021-03-15,80.10022735595703
2021-03-22,79.91254425048828
2021-03-29,81.65897369384766
2021-04-05,84.82084655761719
2021-04-12,86.69578552246094
2021-04-19,85.70772552490234
2021-04-26,86.23790740966797
2021-05-03,85.61128997802734
2021-05-10,82.29520416259766
2021-05-17,81.23965454101562
2021-05-24,83.30738830566406
2021-05-31,82.43498992919922
2021-06-07,83.4857177734375
2021-06-14,82.97965240478516
2021-06-21,85.7607192993164
2021-06-28,87.43742370605469
2021-07-05,88.08908081054688
2021-07-12,85.92655181884766
2021-07-19,88.46558380126953
