Date,MCD
2018-01-01,9.220000267028809
2018-01-08,10.15999984741211
2018-01-15,11.270000457763672
2018-01-22,11.079999923706055
2018-01-29,17.309999465942383
2018-02-05,29.059999465942383
2018-02-12,19.459999084472656
2018-02-19,16.489999771118164
2018-02-26,19.59000015258789
2018-03-05,14.640000343322754
2018-03-12,15.800000190734863
2018-03-19,24.8700008392334
2018-03-26,19.969999313354492
2018-04-02,21.489999771118164
2018-04-09,17.40999984741211
2018-04-16,16.8799991607666
2018-04-23,15.40999984741211
2018-04-30,14.770000457763672
2018-05-07,12.649999618530273
2018-05-14,13.420000076293945
2018-05-21,13.220000267028809
2018-05-28,13.460000038146973
2018-06-04,12.180000305175781
2018-06-11,11.979999542236328
2018-06-18,13.770000457763672
2018-06-25,16.09000015258789
2018-07-02,13.369999885559082
2018-07-09,12.180000305175781
2018-07-16,12.859999656677246
2018-07-23,13.029999732971191
2018-07-30,11.640000343322754
2018-08-06,13.15999984741211
2018-08-13,12.640000343322754
2018-08-20,11.989999771118164
2018-08-27,12.859999656677246
2018-09-03,14.880000114440918
2018-09-10,12.069999694824219
2018-09-17,11.680000305175781
2018-09-24,12.119999885559082
2018-10-01,14.819999694824219
2018-10-08,21.309999465942383
2018-10-15,19.889999389648438
2018-10-22,24.15999984741211
2018-10-29,19.510000228881836
2018-11-05,17.360000610351562
2018-11-12,18.139999389648438
2018-11-19,21.520000457763672
2018-11-26,18.06999969482422
2018-12-03,23.229999542236328
2018-12-10,21.6299991607666
2018-12-17,30.110000610351562
2018-12-24,28.34000015258789
2018-12-31,21.3799991607666
2019-01-07,18.190000534057617
2019-01-14,17.799999237060547
2019-01-21,17.420000076293945
2019-01-28,16.139999389648438
2019-02-04,15.720000267028809
2019-02-11,14.90999984741211
2019-02-18,13.510000228881836
2019-02-25,13.569999694824219
2019-03-04,16.049999237060547
2019-03-11,12.880000114440918
2019-03-18,16.479999542236328
2019-03-25,13.710000038146973
2019-04-01,12.819999694824219
2019-04-08,12.010000228881836
2019-04-15,12.09000015258789
2019-04-22,12.729999542236328
2019-04-29,12.869999885559082
2019-05-06,16.040000915527344
2019-05-13,15.960000038146973
2019-05-20,15.850000381469727
2019-05-27,18.709999084472656
2019-06-03,16.299999237060547
2019-06-10,15.279999732971191
2019-06-17,15.399999618530273
2019-06-24,15.079999923706055
2019-07-01,13.279999732971191
2019-07-08,12.390000343322754
2019-07-15,14.449999809265137
2019-07-22,12.15999984741211
2019-07-29,17.610000610351562
2019-08-05,17.969999313354492
2019-08-12,18.469999313354492
2019-08-19,19.8700008392334
2019-08-26,18.979999542236328
2019-09-02,15.0
2019-09-09,13.739999771118164
2019-09-16,15.319999694824219
2019-09-23,17.219999313354492
2019-09-30,17.040000915527344
2019-10-07,15.579999923706055
2019-10-14,14.25
2019-10-21,12.649999618530273
2019-10-28,12.300000190734863
2019-11-04,12.069999694824219
2019-11-11,12.050000190734863
2019-11-18,12.34000015258789
2019-11-25,12.619999885559082
2019-12-02,13.619999885559082
2019-12-09,12.630000114440918
2019-12-16,12.510000228881836
2019-12-23,13.430000305175781
2019-12-30,14.020000457763672
2020-01-06,12.5600004196167
2020-01-13,12.100000381469727
2020-01-20,14.5600004196167
2020-01-27,18.84000015258789
2020-02-03,15.470000267028809
2020-02-10,13.680000305175781
2020-02-17,17.079999923706055
2020-02-24,40.11000061035156
2020-03-02,41.939998626708984
2020-03-09,57.83000183105469
2020-03-16,66.04000091552734
2020-03-23,65.54000091552734
2020-03-30,46.79999923706055
2020-04-06,41.66999816894531
2020-04-13,38.150001525878906
2020-04-20,35.93000030517578
2020-04-27,37.189998626708984
2020-05-04,27.979999542236328
2020-05-11,31.889999389648438
2020-05-18,28.15999984741211
2020-05-25,27.510000228881836
2020-06-01,24.520000457763672
2020-06-08,36.09000015258789
2020-06-15,35.119998931884766
2020-06-22,34.72999954223633
2020-06-29,27.68000030517578
2020-07-06,27.290000915527344
2020-07-13,25.68000030517578
2020-07-20,25.84000015258789
2020-07-27,24.459999084472656
2020-08-03,22.209999084472656
2020-08-10,22.049999237060547
2020-08-17,22.540000915527344
2020-08-24,22.959999084472656
2020-08-31,30.75
2020-09-07,26.8700008392334
2020-09-14,25.829999923706055
2020-09-21,26.3799991607666
2020-09-28,27.6299991607666
2020-10-05,25.0
2020-10-12,27.40999984741211
2020-10-19,27.549999237060547
2020-10-26,38.02000045776367
2020-11-02,24.860000610351562
2020-11-09,23.100000381469727
2020-11-16,23.700000762939453
2020-11-23,20.84000015258789
2020-11-30,20.790000915527344
2020-12-07,23.309999465942383
2020-12-14,21.56999969482422
2020-12-21,21.530000686645508
2020-12-28,22.75
2021-01-04,21.559999465942383
2021-01-11,24.34000015258789
2021-01-18,21.90999984741211
2021-01-25,33.09000015258789
2021-02-01,20.8700008392334
2021-02-08,19.969999313354492
2021-02-15,22.049999237060547
2021-02-22,27.950000762939453
2021-03-01,24.65999984741211
2021-03-08,20.690000534057617
2021-03-15,20.950000762939453
2021-03-22,18.860000610351562
2021-03-29,17.329999923706055
2021-04-05,16.690000534057617
2021-04-12,16.25
2021-04-19,17.329999923706055
2021-04-26,18.610000610351562
2021-05-03,16.690000534057617
2021-05-10,18.809999465942383
2021-05-17,20.149999618530273
2021-05-24,16.760000228881836
2021-05-31,16.420000076293945
2021-06-07,15.649999618530273
2021-06-14,20.700000762939453
2021-06-21,15.619999885559082
2021-06-28,15.069999694824219
2021-07-05,16.18000030517578
2021-07-12,18.450000762939453
2021-07-19,17.200000762939453
2021-07-26,18.239999771118164
