Category: All categories

Week,starbucks: (United States)
2024-12-29,50
2025-01-05,42
2025-01-12,41
2025-01-19,43
2025-01-26,44
2025-02-02,42
2025-02-09,48
2025-02-16,40
2025-02-23,42
2025-03-02,41
2025-03-09,42
2025-03-16,40
2025-03-23,41
2025-03-30,37
2025-04-06,38
2025-04-13,43
2025-04-20,45
2025-04-27,40
2025-05-04,42
2025-05-11,43
2025-05-18,44
2025-05-25,44
2025-06-01,42
2025-06-08,41
2025-06-15,39
2025-06-22,40
2025-06-29,43
2025-07-06,39
2025-07-13,44
2025-07-20,45
2025-07-27,48
2025-08-03,43
2025-08-10,41
2025-08-17,44
2025-08-24,59
2025-08-31,48
2025-09-07,42
2025-09-14,44
2025-09-21,53
2025-09-28,51
2025-10-05,45
2025-10-12,43
2025-10-19,45
2025-10-26,45
2025-11-02,100
2025-11-09,87
2025-11-16,54
2025-11-23,59
2025-11-30,49
2025-12-07,39
