Date,SPY
2018-01-01,50.0633430480957
2018-01-08,50.726810455322266
2018-01-15,51.4490852355957
2018-01-22,48.70279312133789
2018-01-29,46.83831787109375
2018-02-05,45.838905334472656
2018-02-12,47.691898345947266
2018-02-19,47.40480041503906
2018-02-26,48.07187271118164
2018-03-05,49.36382293701172
2018-03-12,49.819793701171875
2018-03-19,47.54835510253906
2018-03-26,48.88251876831055
2018-04-02,49.262489318847656
2018-04-09,50.02245330810547
2018-04-16,48.97538375854492
2018-04-23,49.279380798339844
2018-04-30,48.70517349243164
2018-05-07,48.35897445678711
2018-05-14,48.51847839355469
2018-05-21,49.16358947753906
2018-05-28,48.30629348754883
2018-06-04,48.04315185546875
2018-06-11,48.476043701171875
2018-06-18,43.49347686767578
2018-06-25,41.46479797363281
2018-07-02,41.57514190673828
2018-07-09,43.81602096557617
2018-07-16,43.2133674621582
2018-07-23,44.26589584350586
2018-07-30,44.33381271362305
2018-08-06,43.72265625
2018-08-13,45.77925491333008
2018-08-20,45.086917877197266
2018-08-27,45.68521499633789
2018-09-03,46.890384674072266
2018-09-10,46.79636001586914
2018-09-17,49.104129791259766
2018-09-24,48.5827522277832
2018-10-01,47.659645080566406
2018-10-08,48.249412536621094
2018-10-15,50.13835525512695
2018-10-22,49.634071350097656
2018-10-29,54.97611618041992
2018-11-05,58.634342193603516
2018-11-12,58.25827407836914
2018-11-19,56.4571418762207
2018-11-26,57.333656311035156
2018-12-03,56.2595100402832
2018-12-10,56.14780044555664
2018-12-17,52.75347900390625
2018-12-24,54.472129821777344
2018-12-31,54.62680435180664
2019-01-07,54.7642936706543
2019-01-14,55.59782409667969
2019-01-21,57.651607513427734
2019-01-28,58.52811050415039
2019-02-04,59.93738555908203
2019-02-11,61.07944107055664
2019-02-18,61.589088439941406
2019-02-25,61.200382232666016
2019-03-04,59.913307189941406
2019-03-11,61.04489517211914
2019-03-18,62.1591796875
2019-03-25,64.21504211425781
2019-04-01,64.81105041503906
2019-04-08,66.21043395996094
2019-04-15,65.7007827758789
2019-04-22,66.9014663696289
2019-04-29,67.41974639892578
2019-05-06,67.73937225341797
2019-05-13,68.47885131835938
2019-05-20,66.08369445800781
2019-05-27,66.00558471679688
2019-06-03,71.5769271850586
2019-06-10,73.10427856445312
2019-06-17,72.73979949951172
2019-06-24,72.74846649169922
2019-07-01,76.18498992919922
2019-07-08,77.90324401855469
2019-07-15,78.36318969726562
2019-07-22,86.00861358642578
2019-07-29,82.8844985961914
2019-08-05,83.57005310058594
2019-08-12,84.07843780517578
2019-08-19,82.4930419921875
2019-08-26,84.11326599121094
2019-09-02,83.39896392822266
2019-09-09,78.81700897216797
2019-09-16,78.4598617553711
2019-09-23,76.9789810180664
2019-09-30,74.84480285644531
2019-10-07,75.22808074951172
2019-10-14,74.94062042236328
2019-10-21,72.63220977783203
2019-10-28,72.48412322998047
2019-11-04,71.22975158691406
2019-11-11,73.35520935058594
2019-11-18,72.68008422851562
2019-11-25,74.78995513916016
2019-12-02,75.5691146850586
2019-12-09,77.62640380859375
2019-12-16,77.44255828857422
2019-12-23,77.15367126464844
2019-12-30,77.76649475097656
2020-01-06,78.93086242675781
2020-01-13,81.95989990234375
2020-01-20,80.56793975830078
2020-01-27,74.26468658447266
2020-02-03,75.65663146972656
2020-02-10,78.52471923828125
2020-02-17,76.83602905273438
2020-02-24,68.98176574707031
2020-03-02,66.2640380859375
2020-03-09,61.496952056884766
2020-03-16,51.0393180847168
2020-03-23,58.348228454589844
2020-03-30,55.454559326171875
2020-04-06,64.97991180419922
2020-04-13,67.81200408935547
2020-04-20,66.47512817382812
2020-04-27,64.90074157714844
2020-05-04,68.48924255371094
2020-05-11,65.59480285644531
2020-05-18,68.6551742553711
2020-05-25,68.98242950439453
2020-06-01,72.65312194824219
2020-06-08,67.55838012695312
2020-06-15,66.69158172607422
2020-06-22,63.303924560546875
2020-06-29,65.2586898803711
2020-07-06,65.70978546142578
2020-07-13,65.59480285644531
2020-07-20,67.02767944335938
2020-07-27,67.69107055664062
2020-08-03,67.03653717041016
2020-08-10,69.69564819335938
2020-08-17,68.53954315185547
2020-08-24,75.591796875
2020-08-31,76.72122192382812
2020-09-07,75.8319091796875
2020-09-14,75.54732513427734
2020-09-21,74.96928405761719
2020-09-28,76.98802185058594
2020-10-05,80.04725646972656
2020-10-12,78.7221908569336
2020-10-19,80.74981689453125
2020-10-26,77.3348388671875
2020-11-02,80.61642456054688
2020-11-09,84.98296356201172
2020-11-16,86.6792984008789
2020-11-23,88.15357971191406
2020-11-30,91.38807678222656
2020-12-07,92.03141021728516
2020-12-14,92.28158569335938
2020-12-21,91.1468276977539
2020-12-28,95.58757781982422
2021-01-04,94.41706848144531
2021-01-11,91.43275451660156
2021-01-18,92.84452819824219
2021-01-25,86.50059509277344
2021-02-01,95.14082336425781
2021-02-08,94.08647918701172
2021-02-15,92.36199951171875
2021-02-22,96.93669891357422
2021-03-01,94.39729309082031
2021-03-08,96.73928833007812
2021-03-15,95.42021942138672
2021-03-22,98.61466979980469
2021-03-29,98.14805603027344
2021-04-05,101.55785369873047
2021-04-12,106.18798065185547
2021-04-19,105.48809814453125
2021-04-26,102.73333740234375
2021-05-03,102.59874725341797
2021-05-10,99.78117370605469
2021-05-17,99.92594146728516
2021-05-24,102.59254455566406
2021-05-31,100.88988494873047
2021-06-07,101.40338897705078
2021-06-14,98.82687377929688
2021-06-21,101.83580780029297
2021-06-28,103.57450866699219
2021-07-05,105.82671356201172
2021-07-12,106.96185302734375
2021-07-19,113.4842300415039
