,CPI
2025-01-13,
2025-01-20,
2025-01-27,
2025-02-03,319.775
2025-02-10,
2025-02-17,
2025-02-24,
2025-03-03,319.615
2025-03-10,
2025-03-17,
2025-03-24,
2025-03-31,
2025-04-07,320.321
2025-04-14,
2025-04-21,
2025-04-28,
2025-05-05,320.58
2025-05-12,
2025-05-19,
2025-05-26,
2025-06-02,321.5
2025-06-09,
2025-06-16,
2025-06-23,
2025-06-30,
2025-07-07,322.132
2025-07-14,
2025-07-21,
2025-07-28,
2025-08-04,323.364
2025-08-11,
2025-08-18,
2025-08-25,
2025-09-01,324.368
