Date,XLY
2018-01-01,242.0252227783203
2018-01-08,246.0085906982422
2018-01-15,248.212646484375
2018-01-22,253.67420959472656
2018-01-29,243.8221435546875
2018-02-05,231.4739227294922
2018-02-12,241.7508087158203
2018-02-19,243.16708374023438
2018-02-26,238.18353271484375
2018-03-05,246.84947204589844
2018-03-12,242.7157440185547
2018-03-19,229.3348846435547
2018-03-26,233.86737060546875
2018-04-02,230.81903076171875
2018-04-09,235.6448211669922
2018-04-16,236.9423065185547
2018-04-23,236.89794921875
2018-04-30,236.41799926757812
2018-05-07,242.48797607421875
2018-05-14,241.13714599609375
2018-05-21,241.8658905029297
2018-05-28,243.15444946289062
2018-06-04,247.23374938964844
2018-06-11,246.291748046875
2018-06-18,245.26405334472656
2018-06-25,242.17527770996094
2018-07-02,245.87112426757812
2018-07-09,249.59378051757812
2018-07-16,249.67408752441406
2018-07-23,251.22738647460938
2018-07-30,253.1735076904297
2018-08-06,252.78062438964844
2018-08-13,254.47686767578125
2018-08-20,256.66400146484375
2018-08-27,259.1636047363281
2018-09-03,256.74432373046875
2018-09-10,259.67242431640625
2018-09-17,260.6632995605469
2018-09-24,260.7044372558594
2018-10-01,258.1038513183594
2018-10-08,247.4594268798828
2018-10-15,247.7284393310547
2018-10-22,237.9358673095703
2018-10-29,243.8185577392578
2018-11-05,249.08245849609375
2018-11-12,245.46856689453125
2018-11-19,236.07064819335938
2018-11-26,247.1903076171875
2018-12-03,236.35757446289062
2018-12-10,233.5775909423828
2018-12-17,215.84884643554688
2018-12-24,223.46829223632812
2018-12-31,227.653564453125
2019-01-07,233.5977325439453
2019-01-14,240.3445587158203
2019-01-21,239.731201171875
2019-01-28,243.5917510986328
2019-02-04,243.96157836914062
2019-02-11,250.18533325195312
2019-02-18,251.78195190429688
2019-02-25,252.9364471435547
2019-03-04,247.5604705810547
2019-03-11,253.7391815185547
2019-03-18,252.99049377441406
2019-03-25,255.91688537597656
2019-04-01,261.43408203125
2019-04-08,262.8746032714844
2019-04-15,262.7477111816406
2019-04-22,265.8190002441406
2019-04-29,266.3806457519531
2019-05-06,261.00830078125
2019-05-13,258.9608154296875
2019-05-20,256.1886291503906
2019-05-27,249.38482666015625
2019-06-03,260.6005554199219
2019-06-10,262.05926513671875
2019-06-17,266.3534851074219
2019-06-24,266.73858642578125
2019-07-01,271.7091979980469
2019-07-08,273.70294189453125
2019-07-15,270.5348205566406
2019-07-22,274.9411315917969
2019-07-29,266.39263916015625
2019-08-05,265.48223876953125
2019-08-12,262.9605407714844
2019-08-19,259.31903076171875
2019-08-26,266.23779296875
2019-09-02,271.3359375
2019-09-09,274.1035461425781
2019-09-16,271.5453186035156
2019-09-23,270.1654052734375
2019-09-30,269.205078125
2019-10-07,270.9702453613281
2019-10-14,272.515869140625
2019-10-21,275.835693359375
2019-10-28,279.9879455566406
2019-11-04,282.5487365722656
2019-11-11,285.1552734375
2019-11-18,284.39617919921875
2019-11-25,287.4599914550781
2019-12-02,287.97216796875
2019-12-09,290.2128601074219
2019-12-16,293.33160400390625
2019-12-23,296.7313232421875
2019-12-30,296.3177490234375
2020-01-06,299.3506164550781
2020-01-13,305.0856628417969
2020-01-20,302.1630554199219
2020-01-27,295.6927795410156
2020-02-03,305.3154296875
2020-02-10,310.2784118652344
2020-02-17,306.4919128417969
2020-02-24,272.28399658203125
2020-03-02,273.3868408203125
2020-03-09,247.52426147460938
2020-03-16,210.28347778320312
2020-03-23,234.28060913085938
2020-03-30,229.4456329345703
2020-04-06,257.1891784667969
2020-04-13,264.99176025390625
2020-04-20,261.598876953125
2020-04-27,261.4324645996094
2020-05-04,270.35369873046875
2020-05-11,264.6588439941406
2020-05-18,273.1270751953125
2020-05-25,281.3363952636719
2020-06-01,295.2220458984375
2020-06-08,281.2347412109375
2020-06-15,285.3301696777344
2020-06-22,278.60955810546875
2020-06-29,289.9192810058594
2020-07-06,294.89617919921875
2020-07-13,298.7311096191406
2020-07-20,297.95111083984375
2020-07-27,303.18817138671875
2020-08-03,310.6629333496094
2020-08-10,312.7706604003906
2020-08-17,315.22210693359375
2020-08-24,325.52886962890625
2020-08-31,318.0912780761719
2020-09-07,310.1893615722656
2020-09-14,307.02294921875
2020-09-21,306.4620056152344
2020-09-28,311.2259826660156
2020-10-05,323.3546447753906
2020-10-12,323.764892578125
2020-10-19,322.3571472167969
2020-10-26,304.4204406738281
2020-11-02,326.4404602050781
2020-11-09,333.8424987792969
2020-11-16,331.26025390625
2020-11-23,339.0353088378906
2020-11-30,344.7966613769531
2020-12-07,341.48712158203125
2020-12-14,344.1720275878906
2020-12-21,345.4705810546875
2020-12-28,350.0394592285156
2021-01-04,356.94879150390625
2021-01-11,351.7433776855469
2021-01-18,358.465576171875
2021-01-25,346.4722900390625
2021-02-01,362.9875183105469
2021-02-08,367.6031799316406
2021-02-15,365.1595764160156
2021-02-22,356.10626220703125
2021-03-01,359.1677551269531
2021-03-08,368.9326477050781
2021-03-15,364.64471435546875
2021-03-22,371.9444274902344
2021-03-29,376.2934265136719
2021-04-05,386.5129699707031
2021-04-12,391.93280029296875
2021-04-19,391.4443359375
2021-04-26,391.97027587890625
2021-05-03,396.49774169921875
2021-05-10,391.29400634765625
2021-05-17,389.7535705566406
2021-05-24,394.5440368652344
2021-05-31,396.9486389160156
2021-06-07,398.5547790527344
2021-06-14,389.7348327636719
2021-06-21,402.0261535644531
2021-06-28,408.7264709472656
2021-07-05,410.4227294921875
2021-07-12,406.4836120605469
2021-07-19,414.5880432128906
2021-07-26,413.24041748046875
